epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,8384,1.7025,1.74199,1.43365,0.4447,0.40988,0.41057,0.2028,1.8987,1.99314,1.69552,0.004357,0.004357,0.004357
59,8529.37,1.69956,1.72035,1.43051,0.45981,0.40571,0.40553,0.19907,1.90673,2.01534,1.70415,0.004258,0.004258,0.004258
60,8670.87,1.68654,1.72161,1.41976,0.42062,0.43112,0.39476,0.19771,1.89472,1.99599,1.69213,0.004159,0.004159,0.004159
61,8810.34,1.67112,1.70648,1.41263,0.42699,0.42256,0.4028,0.20171,1.90825,2.00218,1.69655,0.00406,0.00406,0.00406
62,8949.95,1.67848,1.69908,1.41846,0.41718,0.42279,0.40295,0.20344,1.90586,1.98594,1.69777,0.003961,0.003961,0.003961
63,9090.44,1.67683,1.69535,1.41751,0.39149,0.42843,0.40844,0.20319,1.90653,1.96867,1.70007,0.003862,0.003862,0.003862
64,9229.98,1.67061,1.69177,1.41157,0.42102,0.41196,0.40926,0.19755,1.90028,1.99918,1.69994,0.003763,0.003763,0.003763
65,9369.17,1.65953,1.66908,1.40616,0.43299,0.4072,0.41169,0.20352,1.89431,1.97812,1.6945,0.003664,0.003664,0.003664
66,9508.95,1.65759,1.66628,1.40374,0.42292,0.41132,0.40071,0.20152,1.90142,1.97918,1.6985,0.003565,0.003565,0.003565
67,9647.72,1.65203,1.64823,1.3955,0.43323,0.40848,0.40004,0.19767,1.90617,1.96822,1.69813,0.003466,0.003466,0.003466
68,9787.14,1.66404,1.65967,1.40577,0.44253,0.4005,0.40889,0.20208,1.9073,1.9444,1.69025,0.003367,0.003367,0.003367
69,9928.9,1.64533,1.65456,1.39562,0.44931,0.40029,0.41123,0.20503,1.90589,1.93737,1.69676,0.003268,0.003268,0.003268
70,10075.2,1.6389,1.63418,1.38864,0.39412,0.42101,0.40945,0.20469,1.91383,1.9274,1.6989,0.003169,0.003169,0.003169
71,10222.2,1.63309,1.6254,1.38245,0.40171,0.41287,0.40673,0.20403,1.90447,1.92458,1.69312,0.00307,0.00307,0.00307
72,10371,1.64013,1.62528,1.38999,0.3963,0.42758,0.41041,0.20496,1.90162,1.93249,1.691,0.002971,0.002971,0.002971
73,10517,1.63267,1.60384,1.38308,0.41998,0.42737,0.4219,0.21066,1.8996,1.92084,1.69233,0.002872,0.002872,0.002872
74,10661.7,1.62139,1.60052,1.37878,0.44093,0.41664,0.42556,0.21179,1.90081,1.92575,1.6907,0.002773,0.002773,0.002773
75,10807.7,1.61441,1.59257,1.37648,0.43458,0.4248,0.41884,0.21134,1.90529,1.91156,1.69853,0.002674,0.002674,0.002674
76,10953,1.62479,1.59298,1.37707,0.44758,0.41446,0.42251,0.2128,1.90408,1.90977,1.69264,0.002575,0.002575,0.002575
77,11098,1.6116,1.57469,1.36856,0.46056,0.41047,0.42383,0.20983,1.90229,1.91185,1.69184,0.002476,0.002476,0.002476
78,11244,1.6081,1.5673,1.36608,0.43652,0.42675,0.42872,0.2133,1.90909,1.91306,1.69295,0.002377,0.002377,0.002377
79,11390.5,1.60705,1.57669,1.37293,0.43609,0.42966,0.43158,0.21469,1.90753,1.90811,1.68916,0.002278,0.002278,0.002278
80,11538.3,1.5945,1.55578,1.36556,0.46033,0.41643,0.43067,0.21316,1.91395,1.90962,1.69506,0.002179,0.002179,0.002179
81,11684.2,1.60067,1.55686,1.36094,0.44971,0.42484,0.42958,0.21253,1.91819,1.90201,1.69644,0.00208,0.00208,0.00208
82,11831.3,1.58682,1.54079,1.36321,0.48523,0.39789,0.43141,0.21315,1.91862,1.89459,1.69315,0.001981,0.001981,0.001981
83,11978.3,1.58406,1.52601,1.34917,0.4707,0.41015,0.42884,0.21415,1.91914,1.90103,1.68929,0.001882,0.001882,0.001882
84,12125.2,1.58003,1.51844,1.35018,0.4766,0.40546,0.43033,0.2151,1.9269,1.90355,1.69337,0.001783,0.001783,0.001783
85,12272.5,1.57243,1.51301,1.34831,0.48194,0.4132,0.42771,0.21214,1.92546,1.91229,1.6951,0.001684,0.001684,0.001684
86,12416.9,1.57641,1.50977,1.34954,0.48538,0.41191,0.42688,0.20985,1.93129,1.9169,1.70318,0.001585,0.001585,0.001585
87,12558.8,1.56842,1.49799,1.34327,0.5013,0.40505,0.42297,0.20716,1.9304,1.91009,1.70143,0.001486,0.001486,0.001486
88,12704.8,1.55654,1.49376,1.3393,0.49798,0.41105,0.42502,0.20822,1.93135,1.90444,1.70157,0.001387,0.001387,0.001387
89,12858.3,1.56298,1.48873,1.33911,0.49485,0.41229,0.42706,0.2098,1.92927,1.90173,1.70367,0.001288,0.001288,0.001288
90,13005,1.54158,1.46955,1.33039,0.48618,0.41249,0.4251,0.21114,1.92906,1.89195,1.70063,0.001189,0.001189,0.001189
91,13144.8,1.57105,1.4014,1.36342,0.4817,0.4182,0.43097,0.21213,1.93133,1.88587,1.70144,0.00109,0.00109,0.00109
92,13285.6,1.56137,1.39158,1.36859,0.48367,0.41298,0.43321,0.21631,1.92871,1.8783,1.69826,0.000991,0.000991,0.000991
93,13426.3,1.53735,1.35796,1.34401,0.48796,0.41301,0.43469,0.21727,1.9287,1.86987,1.70126,0.000892,0.000892,0.000892
94,13564.6,1.5426,1.34327,1.34812,0.49289,0.41656,0.43611,0.21713,1.92896,1.86321,1.70141,0.000793,0.000793,0.000793
95,13707.2,1.52933,1.34375,1.34075,0.49925,0.41945,0.43821,0.21736,1.93177,1.85979,1.70142,0.000694,0.000694,0.000694
96,13850.1,1.52608,1.33234,1.34171,0.49719,0.41918,0.43943,0.21613,1.93479,1.86132,1.70207,0.000595,0.000595,0.000595
97,13989.8,1.51758,1.31553,1.33369,0.46511,0.43437,0.44053,0.21688,1.93767,1.85817,1.70459,0.000496,0.000496,0.000496
98,14131.4,1.50906,1.31708,1.33157,0.4602,0.43766,0.43716,0.21772,1.93748,1.85821,1.70394,0.000397,0.000397,0.000397
99,14270.9,1.48899,1.29813,1.32213,0.46958,0.43232,0.43703,0.21774,1.94057,1.855,1.7062,0.000298,0.000298,0.000298
100,14405.6,1.49789,1.2947,1.32657,0.46643,0.43101,0.43636,0.21654,1.94272,1.85654,1.70894,0.000199,0.000199,0.000199
